id,gender,rider,skill.level,age,state,repeat.customer
1,M,ski,beginner,60,Colorado,No
2,F,ski,advanced,17,Colorado,Yes
3,M,ski,beginner,54,Arizona,Yes
4,F,snowboard,intermediate,53,California,Yes
5,M,ski,intermediate,18,Illinois,No
6,M,snowboard,beginner,21,New York,No
7,F,snowboard,intermediate,37,Colorado,Yes
8,M,snowboard,beginner,39,Colorado,Yes
9,M,ski,advanced,64,Nevada,Yes
10,F,ski,intermediate,22,Utah,No
11,F,snowboard,advanced,62,Colorado,Yes
12,M,ski,intermediate,23,Colorado,No
13,M,ski,advanced,36,Utah,No
14,M,snowboard,beginner,32,New Mexico,No
15,F,snowboard,advanced,28,Colorado,No
16,M,ski,intermediate,38,Colorado,Yes
